,title,company,salary,location
112,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
113,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
114,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
115,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
116,Data Analyst - Service,Coesia,No salary,"Bologna, Emilia-Romagna"
117,Junior Data Analyst / Data Scientist (ambito Telco),Risorse SpA,Tempo indeterminato,20121 Milano
118,Data Analyst Laboratorio Materiali,Socotec Italia Srl,Tempo indeterminato +1,"Lainate, Lombardia"
119,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
120,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
121,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
122,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
123,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
124,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
125,Field Service Engineer (Onsite Agrate B.),APPLIED MATERIALS,No salary,20121 Milano
126,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
127,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
128,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
129,Data Analyst - Service,Coesia,No salary,"Bologna, Emilia-Romagna"
130,Data Analyst Laboratorio Materiali,Socotec Italia Srl,Tempo indeterminato +1,"Lainate, Lombardia"
131,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
132,DATA ANALYST,Randstad,Tempo pieno,"San Zeno Naviglio, Lombardia"
133,Strategy business analyst,Alyant,Tempo pieno,37122 Verona
134,DATA ANALYST JUNIOR,Ali Spa,Tempo determinato,"San Donà di Piave, Veneto"
135,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
136,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
137,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
138,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
139,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
140,Field Service Engineer (Onsite Agrate B.),APPLIED MATERIALS,No salary,20121 Milano
141,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
142,Junior Business Analyst,Dot Academy srl,Tempo pieno,27100 Pavia
143,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
144,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
145,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
